
=== RUN 11/100 (GA dyn_only) ===

[0.028s][info][gc,ref] Reference Processor created, Macros: ZUseSeparateDiscoveredLists=0, ZUseDynamicArray=1, ZUseOptimisedClearPath=0
WeakRefSingleObjectBenchmark: weakRefCount=10000000 sleepMillis=500

=== Iteration 1 ===
Phase 1: Allocating the single target object...
Phase 2: Allocating 10000000 WeakReferences in random order...
Allocated 10000000 weak ref holders in 1.32 seconds
Phase 3: Sleeping for 500 ms (strong ref still held)...
Phase 4: Releasing the strong reference to the target object...
Phase 5: Triggering GC...
[6.197s][info][gc,ref] GC(0) O:                           Encountered       Discovered Cleared/Enqueued 
[6.198s][info][gc,ref] GC(0) O: Soft References:                  238                0                0 
[6.198s][info][gc,ref] GC(0) O: Weak References:                 1330                0                0 
[6.198s][info][gc,ref] GC(0) O: Weak (No Queue):              7071866                0                0 
[6.198s][info][gc,ref] GC(0) O: Weak Fields:                        0                0                0 
[6.198s][info][gc,ref] GC(0) O: Final References:                   0                0                0 
[6.198s][info][gc,ref] GC(0) O: Phantom References:                 1                0                0 
[11.822s][info][gc,ref] GC(1) O:                           Encountered       Discovered Cleared/Enqueued 
[11.822s][info][gc,ref] GC(1) O: Soft References:                  238                0                0 
[11.822s][info][gc,ref] GC(1) O: Weak References:                 1330              514              330 
[11.822s][info][gc,ref] GC(1) O: Weak (No Queue):             10000003         10000000         10000000 
[11.822s][info][gc,ref] GC(1) O: Weak Fields:                        0                0                0 
[11.822s][info][gc,ref] GC(1) O: Final References:                   0                0                0 
[11.822s][info][gc,ref] GC(1) O: Phantom References:                 1                0                0 
Phase 6: Checking results...
Alive weak references after GC: 0 / 10000000
[14.788s][info][gc,stats] === Garbage Collection Statistics =======================================================================================================================
[14.788s][info][gc,stats]                                                              Last 10s              Last 10m              Last 10h                Total
[14.788s][info][gc,stats]                                                              Avg / Max             Avg / Max             Avg / Max             Avg / Max
[14.788s][info][gc,stats]        Contention: Mark Segment Reset Contention                     0 / 2                 2 / 34                2 / 34                2 / 34          ops/s
[14.788s][info][gc,stats]        Contention: Mark SeqNum Reset Contention                      0 / 3                 0 / 3                 0 / 3                 0 / 3           ops/s
[14.788s][info][gc,stats]          Critical: Allocation Stall                                  0 / 0                 0 / 0                 0 / 0                 0 / 0           ops/s
[14.788s][info][gc,stats]          Critical: Allocation Stall                              0.000 / 0.000         0.000 / 0.000         0.000 / 0.000         0.000 / 0.000       ms
[14.788s][info][gc,stats]          Critical: JNI Critical Stall                                0 / 0                 0 / 0                 0 / 0                 0 / 0           ops/s
[14.788s][info][gc,stats]          Critical: JNI Critical Stall                            0.000 / 0.000         0.000 / 0.000         0.000 / 0.000         0.000 / 0.000       ms
[14.788s][info][gc,stats]          Critical: Relocation Stall                                  0 / 0                 0 / 0                 0 / 0                 0 / 0           ops/s
[14.788s][info][gc,stats]          Critical: Relocation Stall                              0.000 / 0.000         0.000 / 0.000         0.000 / 0.000         0.000 / 0.000       ms
[14.788s][info][gc,stats]  Major Collection: Major Collection                           3874.032 / 5624.594   3874.032 / 5624.594   3874.032 / 5624.594   3874.032 / 5624.594    ms
[14.788s][info][gc,stats]            Memory: Allocation Rate                                   0 / 2                70 / 688              70 / 688              70 / 688         MB/s
[14.788s][info][gc,stats]            Memory: Defragment                                        0 / 0                 0 / 0                 0 / 0                 0 / 0           ops/s
[14.788s][info][gc,stats]            Memory: Mapped Cache Harvest                              0 / 0                 0 / 0                 0 / 0                 0 / 0           MB/s
[14.788s][info][gc,stats]            Memory: Out Of Memory                                     0 / 0                 0 / 0                 0 / 0                 0 / 0           ops/s
[14.788s][info][gc,stats]            Memory: Uncommit                                          0 / 0                 0 / 0                 0 / 0                 0 / 0           MB/s
[14.788s][info][gc,stats]            Memory: Undo Object Allocation Failed                     0 / 0                 0 / 0                 0 / 0                 0 / 0           ops/s
[14.788s][info][gc,stats]            Memory: Undo Object Allocation Succeeded                  0 / 0                 0 / 0                 0 / 0                 0 / 0           ops/s
[14.788s][info][gc,stats]            Memory: Undo Page Allocation                              0 / 0                 0 / 0                 0 / 0                 0 / 0           ops/s
[14.788s][info][gc,stats]  Minor Collection: Minor Collection                              0.000 / 0.000         0.000 / 0.000         0.000 / 0.000         0.000 / 0.000       ms
[14.788s][info][gc,stats]    Old Generation: Old Generation                             1288.456 / 2571.937   1288.456 / 2571.937   1288.456 / 2571.937   1288.456 / 2571.937    ms
[14.788s][info][gc,stats]         Old Pause: Pause Mark End                                0.012 / 0.013         0.012 / 0.013         0.012 / 0.013         0.012 / 0.013       ms
[14.788s][info][gc,stats]         Old Pause: Pause Relocate Start                          0.012 / 0.015         0.012 / 0.015         0.012 / 0.015         0.012 / 0.015       ms
[14.788s][info][gc,stats]         Old Phase: Concurrent Mark                            1104.180 / 2207.751   1104.180 / 2207.751   1104.180 / 2207.751   1104.180 / 2207.751    ms
[14.788s][info][gc,stats]         Old Phase: Concurrent Mark Continue                      0.000 / 0.000         0.000 / 0.000         0.000 / 0.000         0.000 / 0.000       ms
[14.788s][info][gc,stats]         Old Phase: Concurrent Mark Free                          0.003 / 0.005         0.003 / 0.005         0.003 / 0.005         0.003 / 0.005       ms
[14.788s][info][gc,stats]         Old Phase: Concurrent Process Non-Strong               168.521 / 334.359     168.521 / 334.359     168.521 / 334.359     168.521 / 334.359     ms
